"Sample_ID","JD","TSSR"
"grass_m:12UXV35:30:2017-6-9T5:29:00Z:49.195148:-109.122307",159,-5.71336586799887
"grass_m:12UXV38:01:2017-6-4T5:53:00Z:49.493317:-109.078018",154,-5.32326127284103
"grass_m:12UXV38:04:2017-6-4T6:26:00Z:49.491764:-109.09594",154,-4.77457691013813
"grass_m:12UXV38:05:2017-6-4T6:35:00Z:49.488541:-109.104881",154,-4.62542444831795
"grass_m:12UXV38:06:2017-6-4T6:10:00Z:49.480118:-109.089813",154,-5.04174456033442
"grass_m:12UXV38:09:2017-6-4T6:47:00Z:49.48011:-109.122414",154,-4.42725108193027
"grass_m:12UXV38:11:2017-6-4T7:55:00Z:49.471828:-109.169266",154,-3.29768631060918
"grass_m:12UXV38:13:2017-6-4T8:19:00Z:49.478024:-109.18158",154,-2.89802344183127
"grass_m:12UXV38:14:2017-6-4T8:39:00Z:49.473873:-109.189346",154,-2.56553157130877
"grass_m:12UXV38:15:2017-6-4T6:0:00Z:49.513805:-109.092712",154,-5.20597266932329
"grass_m:12UYB06:01:2018-6-3T6:58:00Z:51.095379:-108.110725",153,-4.05798458417257
"grass_m:12UYB06:02:2018-6-3T7:14:00Z:51.083187:-108.120415",153,-3.79299392514759
"grass_m:12UYB06:03:2018-6-3T6:6:00Z:51.140793:-108.097206",153,-4.91990622970793
"grass_m:12UYB06:04:2018-5-30T5:16:00Z:51.067158:-108.019157",149,-5.80524583617846
"grass_m:12UYB06:05:2018-6-3T6:20:00Z:51.141716:-108.120491",153,-4.68804626815849
"grass_m:12UYB06:06:2018-6-3T8:53:00Z:51.077538:-108.019814",153,-2.1367674579223
"grass_m:12UYB06:07:2018-5-30T6:19:00Z:51.096191:-108.040115",149,-4.75427731315295
"grass_m:12UYB06:08:2018-6-3T6:47:00Z:51.101311:-108.120438",153,-4.24146359092659
"grass_m:12UYB06:09:2018-6-3T6:36:00Z:51.110714:-108.120461",153,-4.42400307132138
"grass_m:12UYB06:10:2018-5-30T6:55:00Z:51.126476:-108.026039",149,-4.15086845358213
"grass_m:12UYB06:11:2018-6-3T5:41:00Z:51.129723:-108.074097",153,-5.33597099251217
"grass_m:12UYB06:12:2018-5-30T5:59:00Z:51.101151:-108.004539",149,-5.08483592006895
